SK1_cnae_principal,Soma de cod_cnae_principal,dsc_cnae_principal,dt_carga
143,4541203,COMERCIO A VAREJO DE MOTOCICLETAS E MOTONETAS NOVAS,2023-06-03 01:16:22
144,4541204,COMERCIO A VAREJO DE MOTOCICLETAS E MOTONETAS USADAS,2023-06-03 01:16:22
145,4541206,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA MOTOCICLETAS E MOTONETAS,2023-06-03 01:16:22
146,4530703,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES,2023-06-03 01:16:22
147,4530703,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES DISPENSADA,2023-06-03 01:16:22
148,4530704,COMERCIO A VAREJO DE PECAS E ACESSORIOS USADOS PARA VEICULOS AUTOMOTORES,2023-06-03 01:16:22
149,4530705,COMERCIO A VAREJO DE PNEUMATICOS E CAMARAS DE AR,2023-06-03 01:16:22
150,4530705,COMERCIO A VAREJO DE PNEUMATICOS E CAMARAS DE AR DISPENSADA,2023-06-03 01:16:22
151,4637102,COMERCIO ATACADISTA DE ACUCAR,2023-06-03 01:16:22
152,4635401,COMERCIO ATACADISTA DE AGUA MINERAL,2023-06-03 01:16:22
153,4681801,COMERCIO ATACADISTA DE ALCOOL CARBURANTE BIODIESEL GASOLINA E DEMAIS DERIVADOS DE PETROLEO EXCETO LUBRIFICANTES NAO REALIZADO POR TRANSPORTADOR RETALHISTA T R R,2023-06-03 01:16:22
154,4623109,COMERCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS,2023-06-03 01:16:22
155,4623101,COMERCIO ATACADISTA DE ANIMAIS VIVOS,2023-06-03 01:16:22
156,4649402,COMERCIO ATACADISTA DE APARELHOS ELETRONICOS DE USO PESSOAL E DOMESTICO,2023-06-03 01:16:22
157,4641903,COMERCIO ATACADISTA DE ARTIGOS DE ARMARINHO,2023-06-03 01:16:22
158,4641902,COMERCIO ATACADISTA DE ARTIGOS DE CAMA MESA E BANHO,2023-06-03 01:16:22
159,4647801,COMERCIO ATACADISTA DE ARTIGOS DE ESCRITORIO E DE PAPELARIA,2023-06-03 01:16:22
160,4647801,COMERCIO ATACADISTA DE ARTIGOS DE ESCRITORIO E DE PAPELARIA DISPENSADA,2023-06-03 01:16:22
161,4642701,COMERCIO ATACADISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS EXCETO PROFISSIONAIS E DE SEGURANCA,2023-06-03 01:16:22
162,4634602,COMERCIO ATACADISTA DE AVES ABATIDAS E DERIVADOS,2023-06-03 01:16:22
163,4633802,COMERCIO ATACADISTA DE AVES VIVAS E OVOS,2023-06-03 01:16:22
164,4635403,COMERCIO ATACADISTA DE BEBIDAS COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA,2023-06-03 01:16:22
165,4635499,COMERCIO ATACADISTA DE BEBIDAS NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
166,4669901,COMERCIO ATACADISTA DE BOMBAS E COMPRESSORES PARTES E PECAS,2023-06-03 01:16:22
167,4621400,COMERCIO ATACADISTA DE CAFE EM GRAO,2023-06-03 01:16:22
168,4643501,COMERCIO ATACADISTA DE CALCADOS,2023-06-03 01:16:22
169,4634601,COMERCIO ATACADISTA DE CARNES BOVINAS E SUINAS E DERIVADOS,2023-06-03 01:16:22
170,4632001,COMERCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADOS,2023-06-03 01:16:22
171,4632003,COMERCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADOS FARINHAS AMIDOS E FECULAS COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA,2023-06-03 01:16:22
172,4635402,COMERCIO ATACADISTA DE CERVEJA CHOPE E REFRIGERANTE,2023-06-03 01:16:22
173,4637107,COMERCIO ATACADISTA DE CHOCOLATES CONFEITOS BALAS BOMBONS E SEMELHANTES,2023-06-03 01:16:22
174,4674500,COMERCIO ATACADISTA DE CIMENTO,2023-06-03 01:16:22
175,4681803,COMERCIO ATACADISTA DE COMBUSTIVEIS DE ORIGEM VEGETAL EXCETO ALCOOL CARBURANTE,2023-06-03 01:16:22
176,4652400,COMERCIO ATACADISTA DE COMPONENTES ELETRONICOS E EQUIPAMENTOS DE TELEFONIA E COMUNICACAO,2023-06-03 01:16:22
177,4646001,COMERCIO ATACADISTA DE COSMETICOS E PRODUTOS DE PERFUMARIA,2023-06-03 01:16:22
178,4623102,COMERCIO ATACADISTA DE COUROS LAS PELES E OUTROS SUBPRODUTOS NAO COMESTIVEIS DE ORIGEM ANIMAL,2023-06-03 01:16:22
179,4683400,COMERCIO ATACADISTA DE DEFENSIVOS AGRICOLAS ADUBOS FERTILIZANTES E CORRETIVOS DO SOLO,2023-06-03 01:16:22
180,4686902,COMERCIO ATACADISTA DE EMBALAGENS,2023-06-03 01:16:22
181,4651601,COMERCIO ATACADISTA DE EQUIPAMENTOS DE INFORMATICA,2023-06-03 01:16:22
182,4649401,COMERCIO ATACADISTA DE EQUIPAMENTOS ELETRICOS DE USO PESSOAL E DOMESTICO,2023-06-03 01:16:22
183,4672900,COMERCIO ATACADISTA DE FERRAGENS E FERRAMENTAS,2023-06-03 01:16:22
184,4689302,COMERCIO ATACADISTA DE FIOS E FIBRAS BENEFICIADOS,2023-06-03 01:16:22
185,4633801,COMERCIO ATACADISTA DE FRUTAS VERDURAS RAIZES TUBERCULOS HORTALICAS E LEGUMES FRESCOS,2023-06-03 01:16:22
186,4682600,COMERCIO ATACADISTA DE GAS LIQUEFEITO DE PETROLEO GLP,2023-06-03 01:16:22
