cnpj,razao_social,cod_acao_reduzido,cod_acao,dt_abertura,matriz_empresa,endereco_municipio,endereco_uf,endereco_regiao,situacao_cadastral,optante_simples,optante_simei,dt_carga
48148947000170,NI,NI,NI,2022-09-30 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48150591000100,NI,NI,NI,2022-09-30 00:00:00,true,SEBASTIANOPOLIS DO SUL,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48156464000118,NI,NI,NI,2022-10-01 00:00:00,true,GRAVATAI,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
48158179000136,NI,NI,NI,2022-10-02 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48158533000122,NI,NI,NI,2022-10-03 00:00:00,true,CAMPO GRANDE,MS,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48158896000168,NI,NI,NI,2022-10-03 00:00:00,true,SANTO ANTONIO DO MONTE,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48158915000156,NI,NI,NI,2022-10-03 00:00:00,true,RIO DE JANEIRO,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48162520000127,NI,NI,NI,2022-10-03 00:00:00,true,BELO HORIZONTE,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48163112000190,NI,NI,NI,2022-10-03 00:00:00,true,CURITIBA,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
48163603000130,NI,NI,NI,2022-10-03 00:00:00,true,RIO DE JANEIRO,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48167110000179,NI,NI,NI,2022-10-03 00:00:00,true,VITORIA DA CONQUISTA,BA,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48167625000179,NI,NI,NI,2022-10-03 00:00:00,true,RIO DE JANEIRO,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48170133000132,NI,NI,NI,2022-10-03 00:00:00,true,PIRACICABA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48175135000114,NI,NI,NI,2022-10-04 00:00:00,true,SAO JOSE DOS CAMPOS,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48175887000185,NI,NI,NI,2022-10-04 00:00:00,true,NATAL,RN,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48177551000151,NI,NI,NI,2022-10-04 00:00:00,true,PARAISO DO NORTE,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
48181545000178,NI,NI,NI,2022-10-04 00:00:00,true,BELEM,PA,NORTE,ATIVA,NI,NI,2023-06-01 17:20:11
48187504000199,NI,NI,NI,1976-08-18 00:00:00,true,CAMPINAS,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48189712000127,NI,NI,NI,2022-10-05 00:00:00,true,CURITIBA,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
48191045000117,NI,NI,NI,2022-10-05 00:00:00,true,SALVADOR,BA,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48193814000116,NI,NI,NI,2022-10-05 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
