cnpj;dsc_porte;dt_carga
03004029000130;Mei;04/06/2023
03012001000144;Micro;04/06/2023
03012541000128;Micro;04/06/2023
03013779000178;Grande;04/06/2023
03014381000156;Micro;04/06/2023
03014553000191;Grande;04/06/2023
03023527000120;Pequena;04/06/2023
03028780000176;Mei;04/06/2023
03031703000418;Grande;04/06/2023
03035586000118;Mei;04/06/2023
03040356000147;Grande;04/06/2023
03049617000190;Pequena;04/06/2023
03052553000186;Pequena;04/06/2023
03052729000108;Micro;04/06/2023
03062980000145;Pequena;04/06/2023
03064454000114;Micro;04/06/2023
03065433001519;Pequena;04/06/2023
03072024000225;Pequena;04/06/2023
03077544000140;Mei;04/06/2023
03082934000108;Micro;04/06/2023
03092758000195;Micro;04/06/2023
03102434000190;Micro;04/06/2023
03102858000155;Micro;04/06/2023
03123344000186;Pequena;04/06/2023
03125699000104;Mei;04/06/2023
03132393000185;Micro;04/06/2023
03141766000184;Micro;04/06/2023
03150757000150;Micro;04/06/2023
03162549000170;Pequena;04/06/2023
03169304000175;Media;04/06/2023
03182074000184;Micro;04/06/2023
03188589000191;Micro;04/06/2023
03190522000191;Micro;04/06/2023
03192199000195;Pequena;04/06/2023
03196643000140;Pequena;04/06/2023
03200679000150;Mei;04/06/2023
03201205000123;Micro;04/06/2023
03201361000194;Micro;04/06/2023
03205574000194;Mei;04/06/2023
03207308000109;Pequena;04/06/2023
03216233000114;Micro;04/06/2023
03219016000188;Pequena;04/06/2023
03220438000173;Grande;04/06/2023
03224035000100;Micro;04/06/2023
03226124000188;Micro;04/06/2023
03229611000102;Micro;04/06/2023
03230838000160;Micro;04/06/2023
03231846000201;Micro;04/06/2023
03233451000167;Pequena;04/06/2023
03239278000104;Micro;04/06/2023
03243430000122;Pequena;04/06/2023
03245319000175;Mei;04/06/2023
03249561000117;Pequena;04/06/2023
03280795000127;Pequena;04/06/2023
03284203000145;Micro;04/06/2023
03296460000105;Micro;04/06/2023
03303943000181;Pequena;04/06/2023
03303999000136;Grande;04/06/2023
03316918000132;Pequena;04/06/2023
03327568000100;Grande;04/06/2023
03338199000150;Micro;04/06/2023
03342704000130;Grande;04/06/2023
03343608000107;Micro;04/06/2023
03345558000105;Pequena;04/06/2023
03346371000118;Micro;04/06/2023
03350067000144;Micro;04/06/2023
03351046000143;Micro;04/06/2023
03357873000306;Media;04/06/2023
03359146000116;Micro;04/06/2023
03363580000170;Micro;04/06/2023
03368647000240;Micro;04/06/2023
03378521000175;Grande;04/06/2023
03378988000115;Pequena;04/06/2023
03393533000179;Micro;04/06/2023
03394828000160;Mei;04/06/2023
03401228000181;Mei;04/06/2023
03407080000192;Pequena;04/06/2023
03428141000106;Pequena;04/06/2023
03428507000309;Micro;04/06/2023
03432999000136;Mei;04/06/2023
03437637000138;Micro;04/06/2023
03452446000145;Pequena;04/06/2023
03455275000108;Micro;04/06/2023
03462251000186;Micro;04/06/2023
03467321000199;Grande;04/06/2023
03468220000132;Media;04/06/2023
03476486000127;Mei;04/06/2023
03476811048510;Media;04/06/2023
03485052000193;Pequena;04/06/2023
03498036000135;Micro;04/06/2023
03500648000115;Pequena;04/06/2023
03520851000153;Pequena;04/06/2023
03524494000100;Media;04/06/2023
03535570000174;Pequena;04/06/2023
03549863000100;Micro;04/06/2023
03558787000108;Pequena;04/06/2023
03577844000198;Pequena;04/06/2023
03578568000182;Pequena;04/06/2023
03594208000174;Micro;04/06/2023
03597703000803;Media;04/06/2023
03611986000124;Pequena;04/06/2023
03613686000184;Pequena;04/06/2023
03616769000127;Micro;04/06/2023
03624740000197;Mei;04/06/2023
03627244000197;Pequena;04/06/2023
03628122001782;Micro;04/06/2023
03628940000118;Micro;04/06/2023
03630237000144;Mei;04/06/2023
03631930000131;Mei;04/06/2023
03636505000135;Micro;04/06/2023
03637773000333;Pequena;04/06/2023
03657695000177;Micro;04/06/2023
03669213000107;Micro;04/06/2023
03671309000100;Media;04/06/2023
03672145000127;Mei;04/06/2023
03678382000103;Micro;04/06/2023
03685625000122;Pequena;04/06/2023
03686720000302;Media;04/06/2023
03689415000102;Micro;04/06/2023
03702728000153;Pequena;04/06/2023
03707758000152;Micro;04/06/2023
03716524000171;Pequena;04/06/2023
03718016000122;Micro;04/06/2023
03725064000148;Mei;04/06/2023
03736938000162;Mei;04/06/2023
03741245000168;Mei;04/06/2023
03746783000145;Micro;04/06/2023
03758318000124;Grande;04/06/2023
03781031000204;Pequena;04/06/2023
03782925000120;Micro;04/06/2023
03783218000158;Pequena;04/06/2023
03795071000540;Grande;04/06/2023
03798096000173;Grande;04/06/2023
03802115000198;Grande;04/06/2023
03813776000119;Micro;04/06/2023
03818901000183;Micro;04/06/2023
03820700000110;Micro;04/06/2023
03823423000280;Micro;04/06/2023
03829523000133;Micro;04/06/2023
03832018000148;Pequena;04/06/2023
03832496000158;Media;04/06/2023
03832828000102;Micro;04/06/2023
03838663000178;Pequena;04/06/2023
03841872000251;Media;04/06/2023
03847461000192;Grande;04/06/2023
03853896000140;Grande;04/06/2023
03856183000130;Micro;04/06/2023
03868880000100;Micro;04/06/2023
03870142000106;Micro;04/06/2023
03876863000115;Pequena;04/06/2023
03882108000143;Media;04/06/2023
03887943000176;Media;04/06/2023
03892707000148;Micro;04/06/2023
03897849000106;Micro;04/06/2023
03910257000179;Micro;04/06/2023
03913585000200;Media;04/06/2023
03916139000178;Pequena;04/06/2023
03921840000347;Media;04/06/2023
03923476000192;Micro;04/06/2023
03926119000188;Media;04/06/2023
03928853000267;Pequena;04/06/2023
03929849000213;Media;04/06/2023
03931281000194;Micro;04/06/2023
03937459000104;Pequena;04/06/2023
03939099000180;Micro;04/06/2023
03939421000170;Micro;04/06/2023
03939757000214;Media;04/06/2023
03945725000140;Micro;04/06/2023
03951199000121;Micro;04/06/2023
03965584001604;Grande;04/06/2023
03968160000117;Pequena;04/06/2023
03969844000133;Pequena;04/06/2023
03974293000104;Micro;04/06/2023
03977785000145;Micro;04/06/2023
03983431000103;Grande;04/06/2023
03983571000181;Micro;04/06/2023
03994247000169;Micro;04/06/2023
03995580000192;Media;04/06/2023
04007335000192;Micro;04/06/2023
04008826000158;Pequena;04/06/2023
04018745000139;Micro;04/06/2023
04027235000390;Micro;04/06/2023
04030182000102;Grande;04/06/2023
04031213000131;Grande;04/06/2023
04031425000119;Mei;04/06/2023
04045082000141;Micro;04/06/2023
04047318000189;Micro;04/06/2023
04054517000114;Micro;04/06/2023
04057488000144;Micro;04/06/2023
04065791000199;Media;04/06/2023
04066143003334;Grande;04/06/2023
04067990000136;Micro;04/06/2023
04068896000100;Micro;04/06/2023
04079967000161;Pequena;04/06/2023
04086822000198;Pequena;04/06/2023
04101921000100;Micro;04/06/2023
04108988000168;Micro;04/06/2023
04109924000181;Micro;04/06/2023
04115806000186;Micro;04/06/2023
04116145000103;Micro;04/06/2023
04134396000110;Pequena;04/06/2023
04136020000145;Pequena;04/06/2023
04138901000286;Grande;04/06/2023
04139735000151;Pequena;04/06/2023
04149454000180;Grande;04/06/2023
04149519000197;Pequena;04/06/2023
04153719000547;Micro;04/06/2023
04159926000185;Pequena;04/06/2023
04169724000114;Micro;04/06/2023
04190397000182;Micro;04/06/2023
04193237000197;Micro;04/06/2023
04201087000205;Micro;04/06/2023
04205283000169;Media;04/06/2023
04209282000192;Micro;04/06/2023
04210423004001;Grande;04/06/2023
04213170000105;Micro;04/06/2023
04227050000167;Pequena;04/06/2023
04233855000113;Micro;04/06/2023
04237791000129;Micro;04/06/2023
04237873000173;Micro;04/06/2023
04239797005870;Media;04/06/2023
04241106000219;Micro;04/06/2023
04245923000164;Micro;04/06/2023
04261345000150;Micro;04/06/2023
04274072000188;Grande;04/06/2023
04281160000107;Pequena;04/06/2023
04290926000110;Media;04/06/2023
04293371000160;Pequena;04/06/2023
04295448000130;Micro;04/06/2023
