cnpj;dsc_nivel_atividade;dt_carga
03614266000112;Baixo;04/06/2023
03625121000117;Medio;04/06/2023
03629299000136;Alto;04/06/2023
03649114000155;Alto;04/06/2023
03652981000140;Muito baixo;04/06/2023
03663350000126;Alto;04/06/2023
03669947000269;Medio;04/06/2023
03682515000107;Alto;04/06/2023
03682898000113;Medio;04/06/2023
03699942000106;Alto;04/06/2023
03709414006466;Medio;04/06/2023
03718896000137;Medio;04/06/2023
03723916000168;Medio;04/06/2023
03724873000135;Medio;04/06/2023
03735296000187;Medio;04/06/2023
03745299000100;Alto;04/06/2023
03746465000184;Alto;04/06/2023
03753301000184;Baixo;04/06/2023
03758204000184;Medio;04/06/2023
03758318000124;Alto;04/06/2023
03765078000195;Medio;04/06/2023
03770503000134;Alto;04/06/2023
03790932000173;Medio;04/06/2023
03796254000237;Medio;04/06/2023
03802115000198;Medio;04/06/2023
03803759000109;Medio;04/06/2023
03827788000100;Medio;04/06/2023
03830992000172;Medio;04/06/2023
03832239003301;Medio;04/06/2023
03847461000192;Alto;04/06/2023
03853896000140;Alto;04/06/2023
03860705000177;Alto;04/06/2023
03877673000112;Alto;04/06/2023
03883876000200;Medio;04/06/2023
03885002000101;Muito baixo;04/06/2023
03886444000164;Alto;04/06/2023
03891684000238;Medio;04/06/2023
03893725000144;Medio;04/06/2023
03899654000197;Alto;04/06/2023
03905813000119;Medio;04/06/2023
03946198000199;Baixo;04/06/2023
03952772000200;Medio;04/06/2023
03960625000193;Muito baixo;04/06/2023
03977561000133;Medio;04/06/2023
03983431000103;Alto;04/06/2023
03999080000129;Medio;04/06/2023
04003464000102;Medio;04/06/2023
04006892000199;Medio;04/06/2023
04016175000148;Baixo;04/06/2023
04016965000123;Medio;04/06/2023
04025081000135;Baixo;04/06/2023
04026172000195;Baixo;04/06/2023
04029393000117;Medio;04/06/2023
04030182000102;Alto;04/06/2023
04030791000153;Muito baixo;04/06/2023
04031213000131;Alto;04/06/2023
04037980000158;Inativo;04/06/2023
04063833000152;Medio;04/06/2023
04065791000199;Alto;04/06/2023
04073837000200;Medio;04/06/2023
04080169000150;Medio;04/06/2023
04086653000196;Muito baixo;04/06/2023
04105410000158;Alto;04/06/2023
04121282000136;Medio;04/06/2023
04122532000152;Alto;04/06/2023
04136211000107;Baixo;04/06/2023
04140719000189;Medio;04/06/2023
04143083000129;Alto;04/06/2023
04149454000180;Alto;04/06/2023
04149764000102;Alto;04/06/2023
04151104000158;Medio;04/06/2023
04157264000104;Medio;04/06/2023
04160046000129;Medio;04/06/2023
04163207000138;Medio;04/06/2023
04170821001875;Medio;04/06/2023
04181474000138;Alto;04/06/2023
04203887000176;Baixo;04/06/2023
04213494000143;Baixo;04/06/2023
04218623000196;Baixo;04/06/2023
04220419000100;Alto;04/06/2023
04230335000157;Medio;04/06/2023
04241917000210;Medio;04/06/2023
04249089000185;Medio;04/06/2023
04250095000152;Medio;04/06/2023
04250934000302;Muito baixo;04/06/2023
04257270000133;Muito baixo;04/06/2023
04260319000107;Medio;04/06/2023
04262011000109;Medio;04/06/2023
04341802000116;Alto;04/06/2023
04343061000102;Medio;04/06/2023
04345125000104;Baixo;04/06/2023
04352876000158;Muito baixo;04/06/2023
04353282000161;Medio;04/06/2023
04365855001904;Medio;04/06/2023
04375741000108;Medio;04/06/2023
04392738000100;Baixo;04/06/2023
04400368000360;Medio;04/06/2023
04401705000171;Medio;04/06/2023
04406439000170;Alto;04/06/2023
04411250000175;Baixo;04/06/2023
04412511000171;Medio;04/06/2023
04414970001590;Alto;04/06/2023
04420430000113;Baixo;04/06/2023
04423425000164;Baixo;04/06/2023
04423567000121;Alto;04/06/2023
04424764000165;Alto;04/06/2023
04442949000100;Baixo;04/06/2023
04443847000100;Inativo;04/06/2023
04449030006767;Baixo;04/06/2023
04455726000170;Baixo;04/06/2023
04460983000108;Alto;04/06/2023
04467799000181;Baixo;04/06/2023
04477391000190;Medio;04/06/2023
04481077000181;Medio;04/06/2023
04492373000692;Medio;04/06/2023
04498140000192;Medio;04/06/2023
04508209000383;Medio;04/06/2023
04509468000167;Medio;04/06/2023
04509510000140;Muito baixo;04/06/2023
04519612000146;Alto;04/06/2023
04520721000183;Alto;04/06/2023
04530301000188;Medio;04/06/2023
04533807000140;Medio;04/06/2023
04534219000121;Medio;04/06/2023
04537813000176;Medio;04/06/2023
04552231000169;Alto;04/06/2023
04564668000112;Medio;04/06/2023
04569990000134;Medio;04/06/2023
04582167000169;Muito baixo;04/06/2023
04592921000141;Medio;04/06/2023
04600072000120;Medio;04/06/2023
04601164000125;Alto;04/06/2023
04601397020234;NI;04/06/2023
04606400000104;Medio;04/06/2023
04611902000115;Baixo;04/06/2023
04621141000182;Alto;04/06/2023
04622116001942;Medio;04/06/2023
04634142000161;Baixo;04/06/2023
04636952000157;Medio;04/06/2023
04649538000182;Medio;04/06/2023
04650264000141;Alto;04/06/2023
04681258000151;Baixo;04/06/2023
04690252000140;Medio;04/06/2023
04693629000115;Medio;04/06/2023
04703314000101;Alto;04/06/2023
04714046000123;Baixo;04/06/2023
04718185000125;Muito baixo;04/06/2023
04722588000148;Alto;04/06/2023
04746274000185;Medio;04/06/2023
04746740000122;Medio;04/06/2023
04748123000166;Medio;04/06/2023
04752991000110;Alto;04/06/2023
04755155000199;Baixo;04/06/2023
04756679001842;Medio;04/06/2023
04756679016874;Medio;04/06/2023
04758897000178;Medio;04/06/2023
04763681000109;Muito baixo;04/06/2023
04764223000186;Medio;04/06/2023
04771481000432;Medio;04/06/2023
04784650000126;Medio;04/06/2023
04786492000143;Medio;04/06/2023
04786742000145;Medio;04/06/2023
04791188000194;Alto;04/06/2023
04805098000105;Baixo;04/06/2023
04814851002687;Medio;04/06/2023
04816595000109;Alto;04/06/2023
04821041000108;Alto;04/06/2023
04827676000104;Alto;04/06/2023
04835324000109;Medio;04/06/2023
04838701000821;Medio;04/06/2023
04843536000120;Alto;04/06/2023
04846436000157;Alto;04/06/2023
04848455000112;Alto;04/06/2023
04852969001385;Medio;04/06/2023
04867861000122;Medio;04/06/2023
04870226000102;Baixo;04/06/2023
04873186000144;Medio;04/06/2023
04882617000139;Alto;04/06/2023
04889428000198;Muito baixo;04/06/2023
04891437000113;Medio;04/06/2023
04895728000180;Alto;04/06/2023
04899316018408;Alto;04/06/2023
04900444000134;Alto;04/06/2023
04901557001398;Medio;04/06/2023
04902979000144;Alto;04/06/2023
04902979009796;Medio;04/06/2023
04913711000108;Alto;04/06/2023
04921257000137;Alto;04/06/2023
04931099000104;Medio;04/06/2023
04973102000144;Baixo;04/06/2023
04974443000304;Alto;04/06/2023
04975888000139;Alto;04/06/2023
04986320000113;Alto;04/06/2023
04994093000178;Medio;04/06/2023
04997001000103;Medio;04/06/2023
04999635000103;Baixo;04/06/2023
05009062000188;Medio;04/06/2023
05020113000172;Alto;04/06/2023
05022842004074;Alto;04/06/2023
05023175000138;Medio;04/06/2023
05032390000103;Alto;04/06/2023
05039846000159;Alto;04/06/2023
05040743000109;Medio;04/06/2023
05049748000100;Medio;04/06/2023
05056319000152;Medio;04/06/2023
05058240000160;Medio;04/06/2023
05065365000118;Baixo;04/06/2023
05073304000100;Medio;04/06/2023
05081794000189;Medio;04/06/2023
05089637000462;Medio;04/06/2023
05091008000124;Muito baixo;04/06/2023
05099372000130;Baixo;04/06/2023
05112082000180;Medio;04/06/2023
05121465000114;Medio;04/06/2023
05131345000106;Alto;04/06/2023
05132979000175;Medio;04/06/2023
05144337000196;Medio;04/06/2023
05153235000137;Baixo;04/06/2023
05164184000149;Inativo;04/06/2023
05164381000168;Medio;04/06/2023
05169518000177;Medio;04/06/2023
05197443000138;Alto;04/06/2023
05205081000180;Alto;04/06/2023
05206243000102;Medio;04/06/2023
05210053000401;Alto;04/06/2023
05211314000157;Baixo;04/06/2023
05217384000112;Medio;04/06/2023
05242245000220;Medio;04/06/2023
05249140000111;Medio;04/06/2023
05260076000170;Medio;04/06/2023
05262937000159;Medio;04/06/2023
05285139000223;Medio;04/06/2023
05285939000163;Alto;04/06/2023
05306012000162;Medio;04/06/2023
05306728000160;Alto;04/06/2023
05313984000184;Alto;04/06/2023
05342056000148;Medio;04/06/2023
05342185000136;Muito baixo;04/06/2023
05353049000303;Alto;04/06/2023
05358681000188;Muito baixo;04/06/2023
05378284000178;Alto;04/06/2023
05379984000187;Medio;04/06/2023
05386856000160;Medio;04/06/2023
05388542000105;Alto;04/06/2023
05400276000180;Muito baixo;04/06/2023
05419921000107;Alto;04/06/2023
05424530000180;Medio;04/06/2023
05427915000606;NI;04/06/2023
05436953000110;Medio;04/06/2023
05442076000190;Medio;04/06/2023
05442159000180;Alto;04/06/2023
05452307000147;Baixo;04/06/2023
05456768000198;Medio;04/06/2023
05459312000181;Alto;04/06/2023
05478567000787;Medio;04/06/2023
05482093000151;Muito baixo;04/06/2023
05494998000141;Alto;04/06/2023
05495546000184;Medio;04/06/2023
05512468000189;Medio;04/06/2023
05517237000168;Alto;04/06/2023
05524882000108;Medio;04/06/2023
05532888000127;Baixo;04/06/2023
05533746000184;Medio;04/06/2023
05535398000184;Alto;04/06/2023
05536392000121;Baixo;04/06/2023
05543380000124;Medio;04/06/2023
05547513000130;Medio;04/06/2023
05556033000136;Baixo;04/06/2023
05556672000100;Alto;04/06/2023
05557134000202;Baixo;04/06/2023
05573643000148;Medio;04/06/2023
05603644000198;Medio;04/06/2023
05610471000135;Inativo;04/06/2023
05646254000103;Baixo;04/06/2023
05664979000116;Medio;04/06/2023
05677156000125;Alto;04/06/2023
05699113000140;Medio;04/06/2023
05724459000151;Alto;04/06/2023
05728868000126;Medio;04/06/2023
05731227000201;Medio;04/06/2023
05748871000101;Medio;04/06/2023
05748888000169;Medio;04/06/2023
05750330000118;Medio;04/06/2023
05759396000330;Medio;04/06/2023
