cnpj;dsc_saude_tributaria;dt_carga
03584647000872;Cinza;04/06/2023
03586443000102;Cinza;04/06/2023
03615350000150;Cinza;04/06/2023
03615870000244;Cinza;04/06/2023
03621681000101;Cinza;04/06/2023
03627244000197;Verde;04/06/2023
03640467003452;Amarela;04/06/2023
03658820001054;Cinza;04/06/2023
03665178000140;Cinza;04/06/2023
03675122000176;Verde;04/06/2023
03679285000127;Cinza;04/06/2023
03686822000166;Cinza;04/06/2023
03702647000153;Vermelho;04/06/2023
03723840000170;Verde;04/06/2023
03728479000175;Cinza;04/06/2023
03729582000130;Verde;04/06/2023
03737033000107;Cinza;04/06/2023
03747379000196;Verde;04/06/2023
03758318000124;Cinza;04/06/2023
03775159004244;Cinza;04/06/2023
03775201000159;Cinza;04/06/2023
03780955000105;Verde;04/06/2023
03789010000146;Cinza;04/06/2023
03792551000123;Cinza;04/06/2023
03796593000132;Cinza;04/06/2023
03798328000355;Ni;04/06/2023
03802115000198;Verde;04/06/2023
03804732000122;Cinza;04/06/2023
03813255000242;Cinza;04/06/2023
03813262000244;Cinza;04/06/2023
03814340000144;Verde;04/06/2023
03818227000137;Cinza;04/06/2023
03832239010260;Verde;04/06/2023
03838663000178;Cinza;04/06/2023
03847461000192;Cinza;04/06/2023
03853896000140;Verde;04/06/2023
03858718000101;Cinza;04/06/2023
03872681001067;Cinza;04/06/2023
03883480000174;Verde;04/06/2023
03910257000179;Cinza;04/06/2023
03939363000185;Cinza;04/06/2023
03944422000103;Cinza;04/06/2023
03949951000108;Verde;04/06/2023
03953768000178;Cinza;04/06/2023
03954196000141;Cinza;04/06/2023
03956285000127;Verde;04/06/2023
03961654000170;Cinza;04/06/2023
03965469000153;Cinza;04/06/2023
03967194000197;Cinza;04/06/2023
03977561000133;Verde;04/06/2023
03983431000103;Verde;04/06/2023
04022289000109;Cinza;04/06/2023
04023725000156;Verde;04/06/2023
04025085000113;Cinza;04/06/2023
04029129000183;Vermelho;04/06/2023
04030098000180;Cinza;04/06/2023
04030182000102;Cinza;04/06/2023
04031213000131;Cinza;04/06/2023
04041113000196;Cinza;04/06/2023
04051713000135;Vermelho;04/06/2023
04065791000199;Verde;04/06/2023
04087070003790;Ni;04/06/2023
04090052000157;Cinza;04/06/2023
04117954000130;Cinza;04/06/2023
04124799000189;Cinza;04/06/2023
04132350001304;Cinza;04/06/2023
04140457000152;Cinza;04/06/2023
04148558000170;Cinza;04/06/2023
04149454000180;Verde;04/06/2023
04150245000156;Cinza;04/06/2023
04171031000166;Cinza;04/06/2023
04182004000199;Verde;04/06/2023
04192926000187;Cinza;04/06/2023
04200002000347;Cinza;04/06/2023
04205503000154;Verde;04/06/2023
04209282000192;Vermelho;04/06/2023
04210962000126;Cinza;04/06/2023
04213072000330;Cinza;04/06/2023
04216728000106;Vermelho;04/06/2023
04220288000160;Verde;04/06/2023
04240771000107;Cinza;04/06/2023
04240787000110;Cinza;04/06/2023
04249103000140;Cinza;04/06/2023
04270139000297;Cinza;04/06/2023
04273594000165;Cinza;04/06/2023
04285969000298;Cinza;04/06/2023
04286620000190;Cinza;04/06/2023
04293900000125;Cinza;04/06/2023
04294897006103;Ni;04/06/2023
04301024000646;Cinza;04/06/2023
04301068000161;Cinza;04/06/2023
04303291000148;Cinza;04/06/2023
04323669000175;Vermelho;04/06/2023
04343312000159;Verde;04/06/2023
04360230000112;Verde;04/06/2023
04373369000443;Cinza;04/06/2023
04380570000105;Verde;04/06/2023
04381184000138;Cinza;04/06/2023
04386026000170;Vermelho;04/06/2023
04388652000104;Vermelho;04/06/2023
04392698000199;Verde;04/06/2023
04394904000108;Cinza;04/06/2023
04412584000163;Cinza;04/06/2023
04423567000121;Verde;04/06/2023
04426660000270;Verde;04/06/2023
04427846000163;Vermelho;04/06/2023
04428528000117;Amarela;04/06/2023
04465229000233;Cinza;04/06/2023
04476163000104;Cinza;04/06/2023
04476854000108;Cinza;04/06/2023
04477214000104;Cinza;04/06/2023
04477557000179;Verde;04/06/2023
04481622000130;Cinza;04/06/2023
04486236000130;Cinza;04/06/2023
04500285000180;Verde;04/06/2023
04504371000161;Cinza;04/06/2023
04504781000102;Cinza;04/06/2023
04525459000160;Cinza;04/06/2023
04543728000110;Verde;04/06/2023
04547696000121;Verde;04/06/2023
04553060000192;Verde;04/06/2023
04560417000160;Cinza;04/06/2023
04566878000140;Verde;04/06/2023
04574115000140;Verde;04/06/2023
04586287000134;Cinza;04/06/2023
04606297000194;Cinza;04/06/2023
04632549000150;Verde;04/06/2023
04641825000146;Cinza;04/06/2023
04659862000181;Amarela;04/06/2023
04670719000190;Verde;04/06/2023
04673993000113;Verde;04/06/2023
04675868000495;Cinza;04/06/2023
04685215000144;Verde;04/06/2023
04686827000313;Verde;04/06/2023
04691955000193;Cinza;04/06/2023
04702993000102;Cinza;04/06/2023
04717330000153;Verde;04/06/2023
04718932000125;Cinza;04/06/2023
04752991000110;Cinza;04/06/2023
04779059000180;Verde;04/06/2023
04785908000109;Cinza;04/06/2023
04797322000164;Cinza;04/06/2023
04798993000140;Cinza;04/06/2023
04805338000171;Vermelho;04/06/2023
04814724000120;Cinza;04/06/2023
04820076000114;Verde;04/06/2023
04821041000108;Amarela;04/06/2023
04825199000148;Cinza;04/06/2023
04825875000345;Cinza;04/06/2023
04829297000153;Cinza;04/06/2023
04831791000152;Cinza;04/06/2023
04862285000120;Cinza;04/06/2023
04873382000119;Cinza;04/06/2023
04875411000181;Verde;04/06/2023
04889522000147;Cinza;04/06/2023
04894314000136;Cinza;04/06/2023
04894835000193;Verde;04/06/2023
04895728000180;Verde;04/06/2023
04899316004610;Verde;04/06/2023
04899427000124;Vermelho;04/06/2023
04902979000144;Verde;04/06/2023
04903496000164;Verde;04/06/2023
04903577000164;Verde;04/06/2023
04905345000145;Verde;04/06/2023
04910371000161;Cinza;04/06/2023
04913711000108;Verde;04/06/2023
04914331000198;Verde;04/06/2023
04919884000133;Verde;04/06/2023
04922831000171;Vermelho;04/06/2023
04923933000101;Cinza;04/06/2023
04927231000287;Vermelho;04/06/2023
04930458000109;Cinza;04/06/2023
04930966000189;Cinza;04/06/2023
04938443000189;Cinza;04/06/2023
04940514000188;Cinza;04/06/2023
04940618000192;Cinza;04/06/2023
04943314000189;Cinza;04/06/2023
04946910000112;Cinza;04/06/2023
04950178000154;Cinza;04/06/2023
04956084000192;Cinza;04/06/2023
04957519000113;Verde;04/06/2023
04957642000134;Cinza;04/06/2023
04957993000650;Cinza;04/06/2023
04963090000177;Verde;04/06/2023
04970016000188;Cinza;04/06/2023
04972064000296;Cinza;04/06/2023
04972973000143;Cinza;04/06/2023
04979921000107;Verde;04/06/2023
04981534000105;Cinza;04/06/2023
04986320000113;Cinza;04/06/2023
04987247000102;Cinza;04/06/2023
04997713000122;Cinza;04/06/2023
05001403000179;Cinza;04/06/2023
05008932000102;Verde;04/06/2023
05020443000168;Verde;04/06/2023
05022135000252;Cinza;04/06/2023
05022319000131;Cinza;04/06/2023
05023530000179;Vermelho;04/06/2023
05046455001214;Verde;04/06/2023
05052920000177;Cinza;04/06/2023
05057078000166;Cinza;04/06/2023
05057457000156;Cinza;04/06/2023
05088425000118;Verde;04/06/2023
05089105000182;Cinza;04/06/2023
05092901002541;Ni;04/06/2023
05099057000103;Cinza;04/06/2023
05115546000101;Cinza;04/06/2023
05132108000151;Verde;04/06/2023
05137787000151;Cinza;04/06/2023
05149144000128;Cinza;04/06/2023
05151039000123;Cinza;04/06/2023
05155099000114;Cinza;04/06/2023
05165630000130;Cinza;04/06/2023
05195064000109;Verde;04/06/2023
05197443000138;Cinza;04/06/2023
05200545000165;Cinza;04/06/2023
05214273000152;Cinza;04/06/2023
05217964000100;Cinza;04/06/2023
05230501000188;Cinza;04/06/2023
05234995000179;Cinza;04/06/2023
05239758000109;Vermelho;04/06/2023
05241324000135;Cinza;04/06/2023
05245502002816;Cinza;04/06/2023
05245656000198;Vermelho;04/06/2023
05282410000196;Cinza;04/06/2023
05282775000110;Cinza;04/06/2023
05287737000150;Vermelho;04/06/2023
05292343000190;Cinza;04/06/2023
05299923000100;Cinza;04/06/2023
05304990000175;Amarela;04/06/2023
05307555000102;Cinza;04/06/2023
05315394000190;Cinza;04/06/2023
05315567000170;Cinza;04/06/2023
05333361000173;Cinza;04/06/2023
05340817000122;Verde;04/06/2023
05356697000232;Cinza;04/06/2023
05365536000124;Vermelho;04/06/2023
05368132000194;Cinza;04/06/2023
05391908000197;Cinza;04/06/2023
05393149000100;Vermelho;04/06/2023
05400302000170;Verde;04/06/2023
05407177000120;Verde;04/06/2023
05408439000171;Verde;04/06/2023
05417474000157;Cinza;04/06/2023
05420738000121;Cinza;04/06/2023
05422539000152;Verde;04/06/2023
05427021000292;Cinza;04/06/2023
05436694000128;Cinza;04/06/2023
05438709000197;Cinza;04/06/2023
05456420000362;Cinza;04/06/2023
05458931000151;Cinza;04/06/2023
05465560000488;Cinza;04/06/2023
05469733000193;Cinza;04/06/2023
05483260000189;Cinza;04/06/2023
05489650000166;Vermelho;04/06/2023
05490218000195;Cinza;04/06/2023
05490840000799;Verde;04/06/2023
05490976000103;Cinza;04/06/2023
05492241000119;Cinza;04/06/2023
05495546000184;Cinza;04/06/2023
05502108000104;Cinza;04/06/2023
05510606000190;Cinza;04/06/2023
05523107000138;Cinza;04/06/2023
05543938000252;Cinza;04/06/2023
05571228000740;Cinza;04/06/2023
05582380000133;Cinza;04/06/2023
05587446000188;Cinza;04/06/2023
05588598000103;Cinza;04/06/2023
05591319000152;Vermelho;04/06/2023
05594897000142;Cinza;04/06/2023
05600012000502;Cinza;04/06/2023
05617598000348;Ni;04/06/2023
05619806000186;Vermelho;04/06/2023
