cnpj;dt_abertura;matriz_empresa;cod_cnae_principal;dsc_cnae_principal;dsc_ramo_atividade;dsc_setor;end_cep;end_municipio;end_uf;end_regiao;end_mesorregiao;situacao_cadastral;dt_carga
22640543000106;2015-06-13;true;4399199;SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;88815640;CRICIUMA;SC;SUL;SUL CATARINENSE;"ATIVA";04/06/2023
22640643000132;1987-05-05;true;8640207;SERVICOS DE DIAGNOSTICO POR IMAGEM SEM USO DE RADIACAO IONIZANTE EXCETO RESSONANCIA MAGNETICA;SERVICOS DE SAUDE;SERVICOS;30140090;BELO HORIZONTE;MG;SUDESTE;METROPOLITANA DE BELO HORIZONTE;"ATIVA";04/06/2023
22643743000112;2015-06-15;true;6821801;CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS;SERVICOS ADMINISTRATIVOS;SERVICOS;99999999;SANTO ANDRE;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
22651550000103;2015-06-15;true;4311801;DEMOLICAO DE EDIFICIOS E OUTRAS ESTRUTURAS;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;99999999;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
22654132000170;2015-06-16;true;121101;HORTICULTURA EXCETO MORANGO;PRODUTOS DE AGROPECUARIA;AGROPECUARIA;18830000;TEJUPA;SP;SUDESTE;ASSIS;"ATIVA";04/06/2023
22659608000165;2015-06-16;true;7319002;PROMOCAO DE VENDAS;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;21220560;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;"ATIVA";04/06/2023
22664271000184;2015-06-17;true;4613300;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MADEIRA MATERIAL DE CONSTRUCAO E FERRAGENS;ATACADO;COMERCIO;25655100;PETROPOLIS;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;"ATIVA";04/06/2023
22664756000178;2015-06-17;true;6202300;DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR CUSTOMIZAVEIS;INDUSTRIA DIGITAL;SERVICOS;99999999;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
22675974000108;2015-06-18;true;9602501;CABELEIREIROS MANICURE E PEDICURE;SERVICOS DIVERSOS;SERVICOS;69850000;BOCA DO ACRE;AM;NORTE;SUL AMAZONENSE;"ATIVA";04/06/2023
22677520000176;1967-12-18;true;1313800;FIACAO DE FIBRAS ARTIFICIAIS E SINTETICAS;TEXTEIS;INDUSTRIA;39404005;MONTES CLAROS;MG;SUDESTE;NORTE DE MINAS;"ATIVA";04/06/2023
22678430000108;2015-06-18;true;9602502;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;SERVICOS DIVERSOS;SERVICOS;99999999;SANTO ANDRE;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
22688374000184;2015-06-19;true;1412603;FACCAO DE PECAS DO VESTUARIO EXCETO ROUPAS INTIMAS;BENS DE CONSUMO;INDUSTRIA;89110342;GASPAR;SC;SUL;VALE DO ITAJAI;"ATIVA";04/06/2023
22688600000127;1987-03-06;true;4723700;COMERCIO VAREJISTA DE BEBIDAS;VAREJO;COMERCIO;30411575;BELO HORIZONTE;MG;SUDESTE;METROPOLITANA DE BELO HORIZONTE;"ATIVA";04/06/2023
22695778000103;2015-06-22;true;5611201;RESTAURANTES E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;78850000;PRIMAVERA DO LESTE;MT;CENTRO-OESTE;SUDESTE MATO GROSSENSE;"ATIVA";04/06/2023
22698024000107;2015-06-22;true;9602501;CABELEIREIROS MANICURE E PEDICURE;SERVICOS DIVERSOS;SERVICOS;79170000;SIDROLANDIA;MS;CENTRO-OESTE;CENTRO NORTE DE MATO GROSSO DO SUL;"ATIVA";04/06/2023
22701840000114;2015-06-23;true;4763604;COMERCIO VAREJISTA DE ARTIGOS DE CACA PESCA E CAMPING;VAREJO;COMERCIO;99999999;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
22701916000101;1989-05-17;true;9312300;CLUBES SOCIAIS ESPORTIVOS E SIMILARES;SERVICOS DIVERSOS;SERVICOS;35367000;MATIPO;MG;SUDESTE;ZONA DA MATA;"ATIVA";04/06/2023
22714288000107;2015-06-23;true;1821100;SERVICOS DE PRE IMPRESSAO;PAPEL E CELULOSE;INDUSTRIA;93310290;NOVO HAMBURGO;RS;SUL;METROPOLITANA DE PORTO ALEGRE;"ATIVA";04/06/2023
22715747000169;2015-06-24;true;4511102;COMERCIO A VAREJO DE AUTOMOVEIS CAMIONETAS E UTILITARIOS USADOS;VAREJO;COMERCIO;18071105;SOROCABA;SP;SUDESTE;MACRO METROPOLITANA PAULISTA;"ATIVA";04/06/2023
22715824000180;2015-06-24;true;8230001;SERVICOS DE ORGANIZACAO DE FEIRAS CONGRESSOS EXPOSICOES E FESTAS;SERVICOS ADMINISTRATIVOS;SERVICOS;99999999;CAJAMAR;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
22729197000137;2015-06-26;true;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;39740000;GUANHAES;MG;SUDESTE;VALE DO RIO DOCE;"ATIVA";04/06/2023
22734113000153;2015-06-26;true;1412602;CONFECCAO SOB MEDIDA DE PECAS DO VESTUARIO EXCETO ROUPAS INTIMAS;BENS DE CONSUMO;INDUSTRIA;57100000;RIO LARGO;AL;NORDESTE;LESTE ALAGOANO;"ATIVA";04/06/2023
22735448000196;2015-06-26;true;4771701;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS SEM MANIPULACAO DE FORMULAS;VAREJO;COMERCIO;77062052;PALMAS;TO;NORTE;ORIENTAL DO TOCANTINS;"ATIVA";04/06/2023
22736476000128;2015-06-27;true;4744099;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;VAREJO;COMERCIO;51110190;RECIFE;PE;NORDESTE;METROPOLITANA DE RECIFE;"ATIVA";04/06/2023
22740851000103;2015-06-29;true;4110700;INCORPORACAO DE EMPREENDIMENTOS IMOBILIARIOS;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;14870080;JABOTICABAL;SP;SUDESTE;RIBEIRAO PRETO;"ATIVA";04/06/2023
22741725000173;2015-06-29;true;4110700;INCORPORACAO DE EMPREENDIMENTOS IMOBILIARIOS;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;15015780;SAO JOSE DO RIO PRETO;SP;SUDESTE;SAO JOSE DO RIO PRETO;"ATIVA";04/06/2023
22742372000126;2015-06-29;true;9602501;CABELEIREIROS MANICURE E PEDICURE;SERVICOS DIVERSOS;SERVICOS;99999999;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
22743149000101;2015-06-29;true;8130300;ATIVIDADES PAISAGISTICAS;SERVICOS ADMINISTRATIVOS;SERVICOS;38703500;PATOS DE MINAS;MG;SUDESTE;TRIANGULO MINEIRO ALTO PARANAIBA;"ATIVA";04/06/2023
22747316000184;2015-06-29;true;5819100;EDICAO DE CADASTROS LISTAS E DE OUTROS PRODUTOS GRAFICOS;TELECOM;SERVICOS;28929278;CABO FRIO;RJ;SUDESTE;BAIXADAS;"ATIVA";04/06/2023
22747659000149;2015-06-29;true;8599604;TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL;SERVICOS DE EDUCACAO;SERVICOS;70864030;BRASILIA;DF;CENTRO-OESTE;DISTRITO FEDERAL;"ATIVA";04/06/2023
22749835003440;2016-06-28;false;5611201;RESTAURANTES E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;99999999;GUARULHOS;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
22750112000100;2015-06-30;true;4761003;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;VAREJO;COMERCIO;13575090;SAO CARLOS;SP;SUDESTE;ARARAQUARA;"ATIVA";04/06/2023
22760373000101;2015-07-01;true;8592999;ENSINO DE ARTE E CULTURA NAO ESPECIFICADO ANTERIORMENTE;SERVICOS DE EDUCACAO;SERVICOS;13253330;ITATIBA;SP;SUDESTE;MACRO METROPOLITANA PAULISTA;"ATIVA";04/06/2023
22769169000143;2015-07-02;true;1412603;FACCAO DE PECAS DO VESTUARIO EXCETO ROUPAS INTIMAS;BENS DE CONSUMO;INDUSTRIA;55750000;SURUBIM;PE;NORDESTE;AGRESTE PERNAMBUCANO;"ATIVA";04/06/2023
22772948000106;2015-07-02;true;151201;CRIACAO DE BOVINOS PARA CORTE;PRODUTOS DE AGROPECUARIA;AGROPECUARIA;18480000;ITAPORANGA;SP;SUDESTE;ITAPETININGA;"ATIVA";04/06/2023
22776408000192;2015-04-29;true;115600;CULTIVO DE SOJA;PRODUTOS DE AGROPECUARIA;AGROPECUARIA;99675000;TRES PALMEIRAS;RS;SUL;NOROESTE RIO GRANDENSE;"ATIVA";04/06/2023
22776649000131;2015-07-03;true;9700500;SERVICOS DOMESTICOS;SERVICOS DIVERSOS;SERVICOS;27347400;BARRA MANSA;RJ;SUDESTE;SUL FLUMINENSE;"ATIVA";04/06/2023
22781111000115;2015-07-03;true;9529105;REPARACAO DE ARTIGOS DO MOBILIARIO;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;35430036;PONTE NOVA;MG;SUDESTE;ZONA DA MATA;"ATIVA";04/06/2023
22788642000130;2015-07-06;true;3511501;GERACAO DE ENERGIA ELETRICA;ENERGIA;INDUSTRIA;41680400;SALVADOR;BA;NORDESTE;METROPOLITANA DE SALVADOR;"ATIVA";04/06/2023
22796937000158;2015-07-07;true;1412601;CONFECCAO DE PECAS DE VESTUARIO EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA;BENS DE CONSUMO;INDUSTRIA;59360000;PARELHAS;RN;NORDESTE;CENTRAL POTIGUAR;"ATIVA";04/06/2023
22814802000178;2015-07-09;true;1412601;CONFECCAO DE PECAS DE VESTUARIO EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA;BENS DE CONSUMO;INDUSTRIA;18103445;SOROCABA;SP;SUDESTE;MACRO METROPOLITANA PAULISTA;"ATIVA";04/06/2023
22823380000105;2015-07-10;true;7319002;PROMOCAO DE VENDAS;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;99999999;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
22824321000143;2015-07-10;true;5611203;LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;57046570;MACEIO;AL;NORDESTE;LESTE ALAGOANO;"ATIVA";04/06/2023
22825838000157;2015-07-10;true;9001902;PRODUCAO MUSICAL;SERVICOS DIVERSOS;SERVICOS;38205000;FRUTAL;MG;SUDESTE;TRIANGULO MINEIRO ALTO PARANAIBA;"ATIVA";04/06/2023
22839291000149;2015-07-14;true;4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;VAREJO;COMERCIO;99999999;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
22840035000171;2015-07-14;true;5611203;LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;27580000;ITATIAIA;RJ;SUDESTE;SUL FLUMINENSE;"ATIVA";04/06/2023
22841250000197;2015-07-14;true;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;36033000;JUIZ DE FORA;MG;SUDESTE;ZONA DA MATA;"ATIVA";04/06/2023
22846988000147;2015-07-14;true;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;VAREJO;COMERCIO;55024130;CARUARU;PE;NORDESTE;AGRESTE PERNAMBUCANO;"ATIVA";04/06/2023
22850543000130;2015-06-26;true;4744001;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;VAREJO;COMERCIO;82820490;CURITIBA;PR;SUL;METROPOLITANA DE CURITIBA;"ATIVA";04/06/2023
22854785000283;2018-11-20;false;151201;CRIACAO DE BOVINOS PARA CORTE;PRODUTOS DE AGROPECUARIA;AGROPECUARIA;79415000;SONORA;MS;CENTRO-OESTE;CENTRO NORTE DE MATO GROSSO DO SUL;"ATIVA";04/06/2023
22855474000158;2015-07-15;true;4687703;COMERCIO ATACADISTA DE RESIDUOS E SUCATAS METALICOS;ATACADO;COMERCIO;36906405;MANHUACU;MG;SUDESTE;ZONA DA MATA;"ATIVA";04/06/2023
22860100000120;1990-04-04;true;9491000;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS;SERVICOS DIVERSOS;SERVICOS;76954000;ALTA FLORESTA D OESTE;RO;NORTE;LESTE RONDONIENSE;"ATIVA";04/06/2023
22865578000143;2015-07-16;true;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS MINIMERCADOS MERCEARIAS E ARMAZENS;VAREJO;COMERCIO;18760039;CERQUEIRA CESAR;SP;SUDESTE;BAURU;"ATIVA";04/06/2023
22866568000122;2015-07-16;true;7119704;SERVICOS DE PERICIA TECNICA RELACIONADOS A SEGURANCA DO TRABALHO;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;14810218;ARARAQUARA;SP;SUDESTE;ARARAQUARA;"ATIVA";04/06/2023
22872370000151;2015-03-02;true;8112500;CONDOMINIOS PREDIAIS;SERVICOS ADMINISTRATIVOS;SERVICOS;28895329;RIO DAS OSTRAS;RJ;SUDESTE;BAIXADAS;"ATIVA";04/06/2023
22873589000175;2015-07-17;true;4755503;COMERCIO VAREJISTA DE ARTIGOS DE CAMA MESA E BANHO;VAREJO;COMERCIO;35382000;PIEDADE DE PONTE NOVA;MG;SUDESTE;ZONA DA MATA;"ATIVA";04/06/2023
22888425000111;2015-07-21;true;8599604;TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL;SERVICOS DE EDUCACAO;SERVICOS;24220071;NITEROI;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;"ATIVA";04/06/2023
22894401000175;2015-07-21;true;4923001;SERVICO DE TAXI;TRANSPORTE;SERVICOS;21060420;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;"ATIVA";04/06/2023
22904986000167;2015-07-22;true;5620101;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA EMPRESAS;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;49820970;CANINDE DE SAO FRANCISCO;SE;NORDESTE;SERTAO SERGIPANO;"ATIVA";04/06/2023
22908050000104;2015-07-23;true;8599699;OUTRAS ATIVIDADES DE ENSINO NAO ESPECIFICADAS ANTERIORMENTE;SERVICOS DE EDUCACAO;SERVICOS;44850000;MORRO DO CHAPEU;BA;NORDESTE;CENTRO NORTE BAIANO;"ATIVA";04/06/2023
22913005000148;2015-07-23;true;3314711;MANUTENCAO E REPARACAO DE MAQUINAS E EQUIPAMENTOS PARA AGRICULTURA E PECUARIA;SERVICOS DIVERSOS;SERVICOS;14460000;CRISTAIS PAULISTA;SP;SUDESTE;RIBEIRAO PRETO;"ATIVA";04/06/2023
22913323000109;2015-07-23;true;4399103;OBRAS DE ALVENARIA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;85884000;MEDIANEIRA;PR;SUL;OESTE PARANAENSE;"ATIVA";04/06/2023
22920181000107;2015-07-24;true;8712300;ATIVIDADES DE FORNECIMENTO DE INFRA ESTRUTURA DE APOIO E ASSISTENCIA A PACIENTE NO DOMICILIO;SERVICOS DE SAUDE;SERVICOS;99999999;TABOAO DA SERRA;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
22929949000103;2015-07-24;true;8621602;SERVICOS MOVEIS DE ATENDIMENTO A URGENCIAS EXCETO POR UTI MOVEL;SERVICOS DE SAUDE;SERVICOS;25900171;MAGE;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;"ATIVA";04/06/2023
22937770000106;2015-07-28;true;4520002;SERVICOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEICULOS AUTOMOTORES;VAREJO;COMERCIO;23946210;ANGRA DOS REIS;RJ;SUDESTE;SUL FLUMINENSE;"ATIVA";04/06/2023
22944641000137;2015-07-07;true;8630503;ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS;SERVICOS DE SAUDE;SERVICOS;99999999;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
22947073000128;2015-07-28;true;8591100;ENSINO DE ESPORTES;SERVICOS DE EDUCACAO;SERVICOS;29075160;VITORIA;ES;SUDESTE;CENTRAL ESPIRITO SANTENSE;"ATIVA";04/06/2023
22951004000198;2015-07-29;true;4520007;SERVICOS DE INSTALACAO MANUTENCAO E REPARACAO DE ACESSORIOS PARA VEICULOS AUTOMOTORES;VAREJO;COMERCIO;88817615;CRICIUMA;SC;SUL;SUL CATARINENSE;"ATIVA";04/06/2023
22954175000170;2015-07-29;true;2512800;FABRICACAO DE ESQUADRIAS DE METAL;SIDERURGICA-METALURGIA;INDUSTRIA;29167553;SERRA;ES;SUDESTE;CENTRAL ESPIRITO SANTENSE;"ATIVA";04/06/2023
22954575000186;2015-07-29;true;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;29104231;VILA VELHA;ES;SUDESTE;CENTRAL ESPIRITO SANTENSE;"ATIVA";04/06/2023
22957640000127;2015-07-30;true;9602501;CABELEIREIROS MANICURE E PEDICURE;SERVICOS DIVERSOS;SERVICOS;99999999;GUARULHOS;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
22967787000106;2015-07-31;true;5611201;RESTAURANTES E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;11990000;CANANEIA;SP;SUDESTE;LITORAL SUL PAULISTA;"ATIVA";04/06/2023
22968046000131;2015-07-31;true;7112000;SERVICOS DE ENGENHARIA;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;56302430;PETROLINA;PE;NORDESTE;SAO FRANCISCO PERNAMBUCANO;"ATIVA";04/06/2023
22975986000158;2015-08-03;true;2539001;SERVICOS DE USINAGEM TORNEARIA E SOLDA;SIDERURGICA-METALURGIA;INDUSTRIA;75801515;JATAI;GO;CENTRO-OESTE;SUL GOIANO;"ATIVA";04/06/2023
22977453000105;2015-08-03;true;5611203;LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;85903590;TOLEDO;PR;SUL;OESTE PARANAENSE;"ATIVA";04/06/2023
23004395000104;2015-08-06;true;3101200;FABRICACAO DE MOVEIS COM PREDOMINANCIA DE MADEIRA;BENS DE CONSUMO;INDUSTRIA;95695970;RIOZINHO;RS;SUL;METROPOLITANA DE PORTO ALEGRE;"ATIVA";04/06/2023
23009117000131;2015-08-06;true;4120400;CONSTRUCAO DE EDIFICIOS;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;95588000;XANGRI LA;RS;SUL;METROPOLITANA DE PORTO ALEGRE;"ATIVA";04/06/2023
23021222000196;2015-08-08;true;9602502;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;SERVICOS DIVERSOS;SERVICOS;73036140;BRASILIA;DF;CENTRO-OESTE;DISTRITO FEDERAL;"ATIVA";04/06/2023
23022671000159;2015-08-09;true;4321500;INSTALACAO E MANUTENCAO ELETRICA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;22733010;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;"ATIVA";04/06/2023
23028200000158;2015-08-07;true;7729299;ALUGUEL DE OUTROS OBJETOS PESSOAIS E DOMESTICOS NAO ESPECIFICADOS ANTERIORMENTE;SERVICOS ADMINISTRATIVOS;SERVICOS;22790650;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;"ATIVA";04/06/2023
23030581000100;2015-08-10;true;6822600;GESTAO E ADMINISTRACAO DA PROPRIEDADE IMOBILIARIA;SERVICOS ADMINISTRATIVOS;SERVICOS;53030260;OLINDA;PE;NORDESTE;METROPOLITANA DE RECIFE;"ATIVA";04/06/2023
23042512000116;2015-08-11;true;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;83206250;PARANAGUA;PR;SUL;METROPOLITANA DE CURITIBA;"ATIVA";04/06/2023
23048644000236;2016-11-24;false;6190601;PROVEDORES DE ACESSO AS REDES DE COMUNICACOES;TELECOM;SERVICOS;29450000;APIACA;ES;SUDESTE;SUL ESPIRITO SANTENSE;"ATIVA";04/06/2023
23057407000150;2015-08-13;true;5611204;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS SEM ENTRETENIMENTO;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;78690000;NOVA XAVANTINA;MT;CENTRO-OESTE;NORDESTE MATO GROSSENSE;"ATIVA";04/06/2023
23060454000153;2015-08-13;true;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;99999999;MAUA;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
23065900000112;2015-08-14;true;5229099;OUTRAS ATIVIDADES AUXILIARES DOS TRANSPORTES TERRESTRES NAO ESPECIFICADAS ANTERIORMENTE;TRANSPORTE;SERVICOS;60822630;FORTALEZA;CE;NORDESTE;METROPOLITANA DE FORTALEZA;"ATIVA";04/06/2023
23066958000180;2015-08-14;true;5611203;LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;25086172;DUQUE DE CAXIAS;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;"ATIVA";04/06/2023
23088938000100;2015-08-18;true;4120400;CONSTRUCAO DE EDIFICIOS;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;23520560;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;"ATIVA";04/06/2023
23097104002539;2020-03-09;false;8640203;SERVICOS DE DIALISE E NEFROLOGIA;SERVICOS DE SAUDE;SERVICOS;70200610;BRASILIA;DF;CENTRO-OESTE;DISTRITO FEDERAL;"ATIVA";04/06/2023
23109914000190;2015-08-21;true;5620102;SERVICOS DE ALIMENTACAO PARA EVENTOS E RECEPCOES BUFE;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;22775180;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;"ATIVA";04/06/2023
23118828000144;2015-08-24;true;9602501;CABELEIREIROS MANICURE E PEDICURE;SERVICOS DIVERSOS;SERVICOS;25560670;SAO JOAO DE MERITI;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;"ATIVA";04/06/2023
23124543000116;2015-08-24;true;9521500;REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;79013420;CAMPO GRANDE;MS;CENTRO-OESTE;CENTRO NORTE DE MATO GROSSO DO SUL;"ATIVA";04/06/2023
23148026000187;1987-08-25;true;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;38015360;UBERABA;MG;SUDESTE;TRIANGULO MINEIRO ALTO PARANAIBA;"ATIVA";04/06/2023
23152533000194;2015-08-26;true;4399103;OBRAS DE ALVENARIA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;35430249;PONTE NOVA;MG;SUDESTE;ZONA DA MATA;"ATIVA";04/06/2023
23159017000191;2015-06-16;true;9491000;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS;SERVICOS DIVERSOS;SERVICOS;99050290;PASSO FUNDO;RS;SUL;NOROESTE RIO GRANDENSE;"ATIVA";04/06/2023
23169028000152;2015-08-28;true;9609208;HIGIENE E EMBELEZAMENTO DE ANIMAIS DOMESTICOS;SERVICOS DIVERSOS;SERVICOS;99999999;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
23171955000107;2015-08-28;true;5611203;LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;17680000;IACRI;SP;SUDESTE;MARILIA;"ATIVA";04/06/2023
23172347000117;1965-03-16;true;9312300;CLUBES SOCIAIS ESPORTIVOS E SIMILARES;SERVICOS DIVERSOS;SERVICOS;98390000;ERVAL SECO;RS;SUL;NOROESTE RIO GRANDENSE;"ATIVA";04/06/2023
23173395000120;2015-08-19;true;9499500;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;SERVICOS DIVERSOS;SERVICOS;75110270;ANAPOLIS;GO;CENTRO-OESTE;CENTRO GOIANO;"ATIVA";04/06/2023
23177311000126;2015-08-31;true;4399103;OBRAS DE ALVENARIA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;79750000;NOVA ANDRADINA;MS;CENTRO-OESTE;LESTE DE MATO GROSSO DO SUL;"ATIVA";04/06/2023
23181904000166;2015-08-31;true;4724500;COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS;VAREJO;COMERCIO;38435000;ARAPORA;MG;SUDESTE;TRIANGULO MINEIRO ALTO PARANAIBA;"ATIVA";04/06/2023
23182755000150;2015-08-31;true;4724500;COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS;VAREJO;COMERCIO;74959038;APARECIDA DE GOIANIA;GO;CENTRO-OESTE;CENTRO GOIANO;"ATIVA";04/06/2023
23182810000101;2015-08-31;true;3101200;FABRICACAO DE MOVEIS COM PREDOMINANCIA DE MADEIRA;BENS DE CONSUMO;INDUSTRIA;29162347;SERRA;ES;SUDESTE;CENTRAL ESPIRITO SANTENSE;"ATIVA";04/06/2023
23200659000197;2015-09-02;true;4520001;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;VAREJO;COMERCIO;99999999;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
23207788000107;2015-09-03;true;4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;VAREJO;COMERCIO;13450066;SANTA BARBARA D OESTE;SP;SUDESTE;CAMPINAS;"ATIVA";04/06/2023
