cnpj;optante_simples;optante_simei;dt_carga
02062747000108;false;false;04/06/2023
02071685000192;true;false;04/06/2023
02072248000193;false;false;04/06/2023
02089632000107;false;false;04/06/2023
02090385000150;true;false;04/06/2023
02093125000139;true;false;04/06/2023
02101052000180;false;false;04/06/2023
02101989000236;NI;NI;04/06/2023
02108349000177;true;false;04/06/2023
02112055000208;NI;NI;04/06/2023
02116756000630;false;false;04/06/2023
02128461000170;false;false;04/06/2023
02130360000214;false;false;04/06/2023
02131386000104;false;false;04/06/2023
02137229000106;true;false;04/06/2023
02139619000107;true;false;04/06/2023
02143447000145;true;false;04/06/2023
02143973000105;false;false;04/06/2023
02149205000169;false;false;04/06/2023
02157176000268;false;false;04/06/2023
02162616000194;false;false;04/06/2023
02170723000164;false;false;04/06/2023
02190776000147;false;false;04/06/2023
02193750000152;false;false;04/06/2023
02217319000107;false;false;04/06/2023
02220190000188;true;false;04/06/2023
02221767000176;true;false;04/06/2023
02225879000103;false;false;04/06/2023
02234584000195;false;false;04/06/2023
02254223000100;true;false;04/06/2023
02255187000108;false;false;04/06/2023
02258052000198;false;false;04/06/2023
02266992000129;true;false;04/06/2023
02280165000190;false;false;04/06/2023
02284651000186;false;false;04/06/2023
02286479021105;NI;NI;04/06/2023
02291077000193;false;false;04/06/2023
02291739000478;NI;NI;04/06/2023
02302101000142;false;false;04/06/2023
02306233000142;false;false;04/06/2023
02308008000145;true;false;04/06/2023
02309786000159;false;false;04/06/2023
02322506000142;true;false;04/06/2023
02323453000184;false;false;04/06/2023
02328280000197;false;false;04/06/2023
02343608000144;false;false;04/06/2023
02351144000118;false;false;04/06/2023
02351710000191;true;false;04/06/2023
02351877000152;false;false;04/06/2023
02357251000153;false;false;04/06/2023
02365069000144;false;false;04/06/2023
02374712000104;true;false;04/06/2023
02377966000178;true;false;04/06/2023
02381352000160;false;false;04/06/2023
02387241000160;false;false;04/06/2023
02400544000176;false;false;04/06/2023
02404504000100;false;false;04/06/2023
02405951000176;true;false;04/06/2023
02409761000712;false;false;04/06/2023
02413595000132;false;false;04/06/2023
02414164000190;false;false;04/06/2023
02415583100010;false;false;04/06/2023
02415583112107;false;false;04/06/2023
02415583136200;false;false;04/06/2023
02415583181184;false;false;04/06/2023
02419541000184;false;false;04/06/2023
02421421000111;false;false;04/06/2023
02427602000155;true;false;04/06/2023
02429144000193;false;false;04/06/2023
02435159000164;true;false;04/06/2023
02455233000295;false;false;04/06/2023
02462250000179;false;false;04/06/2023
02470930000134;true;false;04/06/2023
02471963000107;true;false;04/06/2023
02474103000119;false;false;04/06/2023
02477406000195;false;false;04/06/2023
02497354000119;false;false;04/06/2023
02502520000209;NI;NI;04/06/2023
02503007000151;true;false;04/06/2023
02507232000166;true;false;04/06/2023
02519944000103;true;false;04/06/2023
02543672000179;true;false;04/06/2023
02545360000285;true;false;04/06/2023
02555465000134;false;false;04/06/2023
02558157000162;false;false;04/06/2023
02563332000100;false;false;04/06/2023
02565439000197;false;false;04/06/2023
02572726000396;false;false;04/06/2023
02581911000185;false;false;04/06/2023
02585924012309;false;false;04/06/2023
02590304000181;true;true;04/06/2023
02592468000148;false;false;04/06/2023
02594424000157;false;false;04/06/2023
02604860000160;false;false;04/06/2023
02614230000176;true;false;04/06/2023
02626506000136;true;false;04/06/2023
02627734000120;true;false;04/06/2023
02635522000195;false;false;04/06/2023
02649725000130;true;true;04/06/2023
02656196001921;false;false;04/06/2023
02658560000163;true;false;04/06/2023
02664042000152;false;false;04/06/2023
02689510000143;true;false;04/06/2023
02690617000101;false;false;04/06/2023
02702354000103;false;false;04/06/2023
02702824000210;false;false;04/06/2023
02705481000670;false;false;04/06/2023
02717253000106;false;false;04/06/2023
02720128000155;false;false;04/06/2023
02734022000100;true;false;04/06/2023
02744156000102;true;false;04/06/2023
02761715000192;false;false;04/06/2023
02762121000104;false;false;04/06/2023
02762124000130;false;false;04/06/2023
02766038005083;false;false;04/06/2023
02776457000118;false;false;04/06/2023
02777018000120;true;false;04/06/2023
02777024000187;false;false;04/06/2023
02794356000170;false;false;04/06/2023
02796775000140;false;false;04/06/2023
02799600000197;true;false;04/06/2023
02800026000140;false;false;04/06/2023
02808951000117;true;false;04/06/2023
02815916000125;false;false;04/06/2023
02832019000120;true;false;04/06/2023
02832547000189;true;true;04/06/2023
02833870000177;false;false;04/06/2023
02845496000120;true;true;04/06/2023
02846056000197;false;false;04/06/2023
02847681001206;false;false;04/06/2023
02852677000183;false;false;04/06/2023
02859090000287;true;false;04/06/2023
02860694000162;false;false;04/06/2023
02916265000160;false;false;04/06/2023
02920310000150;true;false;04/06/2023
02932074000191;false;false;04/06/2023
02940885000134;true;false;04/06/2023
02950811000189;false;false;04/06/2023
02951160017974;false;false;04/06/2023
02957320000160;true;false;04/06/2023
02961002000334;false;false;04/06/2023
02962641000152;false;false;04/06/2023
02962788000142;false;false;04/06/2023
02965468000146;false;false;04/06/2023
02981429000132;false;false;04/06/2023
02982527000194;false;false;04/06/2023
02982595000315;true;false;04/06/2023
02992449000109;false;false;04/06/2023
02998301000181;false;false;04/06/2023
02998611000104;false;false;04/06/2023
03014553000191;false;false;04/06/2023
03022588000253;false;false;04/06/2023
03031110000109;false;false;04/06/2023
03045431000162;false;false;04/06/2023
03071108000678;true;false;04/06/2023
03073028000147;false;false;04/06/2023
03074246000104;true;false;04/06/2023
03076884000156;true;false;04/06/2023
03093981000157;true;false;04/06/2023
03113827000108;false;false;04/06/2023
03129935000160;true;false;04/06/2023
03132775000109;false;false;04/06/2023
03134568000193;false;false;04/06/2023
03141154000191;false;false;04/06/2023
03150807000107;true;true;04/06/2023
03153003000153;false;false;04/06/2023
03159879000107;false;false;04/06/2023
03163273000145;false;false;04/06/2023
03166705000252;NI;NI;04/06/2023
03172020000138;true;false;04/06/2023
03178516000119;false;false;04/06/2023
03185564000134;false;false;04/06/2023
03186534000142;false;false;04/06/2023
03187787000130;true;false;04/06/2023
03214835000132;false;false;04/06/2023
03220438000173;false;false;04/06/2023
03228281000122;false;false;04/06/2023
03228378000135;false;false;04/06/2023
03234943000177;true;false;04/06/2023
03243876000157;true;false;04/06/2023
03244471000133;false;false;04/06/2023
03251299000145;true;false;04/06/2023
03261442000180;true;false;04/06/2023
03261703000161;true;false;04/06/2023
03285176000125;false;false;04/06/2023
03286294000239;NI;NI;04/06/2023
03289885000189;false;false;04/06/2023
03291332000160;true;false;04/06/2023
03293963000119;false;false;04/06/2023
03297377000142;false;false;04/06/2023
03301925001647;NI;NI;04/06/2023
03303999000136;false;false;04/06/2023
03305025000272;false;false;04/06/2023
03312286000139;false;false;04/06/2023
03329957000174;true;false;04/06/2023
03332411000172;false;false;04/06/2023
03335066000120;true;false;04/06/2023
03339071000101;false;false;04/06/2023
03342704000130;false;false;04/06/2023
03354902000114;true;false;04/06/2023
03361917000100;false;false;04/06/2023
03378521000175;false;false;04/06/2023
03378899000179;true;false;04/06/2023
03384155000167;true;false;04/06/2023
03384517000110;true;false;04/06/2023
03388379000147;false;false;04/06/2023
03388861000187;true;false;04/06/2023
03392156000153;false;false;04/06/2023
03398017000137;true;false;04/06/2023
03414113000121;false;false;04/06/2023
03431783000156;true;false;04/06/2023
03441939000180;false;false;04/06/2023
03456351000108;true;false;04/06/2023
03456487000100;false;false;04/06/2023
03462027000194;true;false;04/06/2023
03465034000140;false;false;04/06/2023
03467321000199;false;false;04/06/2023
03476811044361;false;false;04/06/2023
03483514000133;true;false;04/06/2023
03485324000406;false;false;04/06/2023
03496362000103;false;false;04/06/2023
03498812000954;false;false;04/06/2023
03501566000195;false;false;04/06/2023
03512292000130;false;false;04/06/2023
03548507000172;false;false;04/06/2023
03574419000145;true;false;04/06/2023
03596534000200;false;false;04/06/2023
03603270000185;true;false;04/06/2023
03608241000106;true;false;04/06/2023
03612443000121;false;false;04/06/2023
03613342000175;true;false;04/06/2023
03614778000189;false;false;04/06/2023
03621100000123;true;false;04/06/2023
03624974000487;NI;NI;04/06/2023
03634854000118;false;false;04/06/2023
03643856005566;false;false;04/06/2023
03644223000180;false;false;04/06/2023
03646240000156;true;false;04/06/2023
03652030000170;false;false;04/06/2023
03655822000107;false;false;04/06/2023
03673116000180;false;false;04/06/2023
03688666000172;true;false;04/06/2023
03692535000169;true;false;04/06/2023
03694937000100;false;false;04/06/2023
03701572000196;true;false;04/06/2023
03703773000122;false;false;04/06/2023
03704338000112;false;false;04/06/2023
03710817000222;false;false;04/06/2023
03719755000139;true;false;04/06/2023
03752218000190;true;false;04/06/2023
03758318000124;false;false;04/06/2023
03761409000119;true;false;04/06/2023
03762947000128;false;false;04/06/2023
03782387000173;false;false;04/06/2023
03784680000331;false;false;04/06/2023
03785540000892;false;false;04/06/2023
03799098000187;true;false;04/06/2023
03802115000198;false;false;04/06/2023
03806375000131;false;false;04/06/2023
03814438000100;true;false;04/06/2023
03823476000382;NI;NI;04/06/2023
03826240000138;false;false;04/06/2023
03842898000133;false;false;04/06/2023
03847461000192;false;false;04/06/2023
03853896000140;false;false;04/06/2023
03862058000132;true;false;04/06/2023
03862585000147;false;false;04/06/2023
03865570000132;true;false;04/06/2023
03880797000157;false;false;04/06/2023
03887640000153;true;false;04/06/2023
03893350001275;NI;NI;04/06/2023
03900960000104;false;false;04/06/2023
03904942000192;true;false;04/06/2023
03919480000187;false;false;04/06/2023
